"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITE","Centro","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",44842,,
"ITG","Isole","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",24441,,
"ITG","Isole","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",50508,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",19045,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",16256,,
"ITD","Nord-est","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",88923,,
"ITC","Nord-ovest","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",121015,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",10006,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",1853,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",3898,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",10024,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",49346,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",26112,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",10706,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",2649,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",5992,,
"ITF","Sud","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",109751,,
"ITF","Sud","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",56205,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",29647,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",7491,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",4562,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",2079,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",14543,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",15180,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",1083,,
"ITD","Nord-est","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",45881,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",17483,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",40502,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",25245,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",9436,,
"ITC","Nord-ovest","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",58857,,
